ms,temp_c,red,ir
203639,27.62,107601,133778
203659,27.62,107519,133825
203679,27.62,107563,133752
203699,27.62,107487,133811
203719,27.62,107547,133745
203739,27.62,107476,133800
203759,27.62,107546,133730
203779,27.62,107491,133819
203799,27.62,107559,133758
203819,27.62,107496,133837
203839,27.62,107563,133779
203859,27.62,107494,133833
203879,27.62,107572,133795
203899,27.62,107502,133844
203919,27.62,107586,133807
203939,27.62,107506,133845
203959,27.62,107596,133828
203979,27.62,107519,133849
203999,27.62,107595,133829
204019,27.62,107508,133871
204039,27.62,107597,133831
204059,27.62,107512,133869
204079,27.62,107585,133805
204099,27.62,107511,133887
204119,27.62,107572,133799
204139,27.62,107531,133905
204159,27.62,107552,133763
204179,27.62,107532,133914
204199,27.62,107546,133759
204219,27.62,107555,133938
204239,27.62,107534,133748
204259,27.62,107545,133926
204279,27.62,107537,133751
204299,27.62,107549,133961
204319,27.62,107530,133745
204339,27.62,107554,133960
204359,27.62,107536,133754
204379,27.62,107556,133960
204399,27.62,107513,133734
204419,27.62,107554,133958
204439,27.62,107497,133719
204459,27.62,107559,133957
204479,27.62,107487,133731
204499,27.62,107557,133963
204519,27.62,107490,133731
204539,27.62,107546,133962
204559,27.62,107492,133735
204579,27.62,107492,133942
204599,27.62,107496,133742
204619,27.62,107496,133742
204639,27.62,107490,133741
204659,27.62,107490,133741
204679,27.62,107523,133776
204699,27.62,107523,133776
204719,27.62,107523,133776
204739,27.62,107507,133776
204759,27.62,107541,133941
204779,27.62,107520,133795
204799,27.62,107543,133990
204819,27.62,107527,133803
204839,27.62,107539,133991
204859,27.62,107515,133804
204879,27.62,107518,133965
204899,27.62,107522,133822
204919,27.62,107502,133941
204939,27.62,107519,133825
204959,27.62,107494,133936
204979,27.62,107487,133811
204999,27.62,107497,133933
205021,27.62,107476,133800
205040,27.62,107491,133819
205060,27.62,107491,133819
205080,27.62,107538,133979
205100,27.62,107496,133837
205120,27.62,107538,133991
205140,27.62,107494,133833
205160,27.62,107541,133991
205180,27.62,107502,133844
205200,27.62,107520,133968
205220,27.62,107506,133845
205240,27.62,107508,133963
205260,27.62,107519,133849
205280,27.62,107510,133954
205300,27.62,107508,133871
205320,27.62,107515,133942
205340,27.62,107512,133869
205360,27.62,107544,133929
205380,27.62,107511,133887
205400,27.62,107540,133930
205420,27.62,107531,133905
205440,27.62,107541,133947
205460,27.62,107532,133914
205480,27.62,107551,133985
205500,27.62,107555,133938
205520,27.62,107553,134002
205540,27.62,107545,133926
205560,27.62,107544,133986
205580,27.62,107549,133961
205600,27.62,107538,133984
205620,27.62,107554,133960
205640,27.62,107524,133954
205660,27.62,107556,133960
205680,27.62,107521,133963
205700,27.62,107554,133958
205720,27.62,107508,133959
205740,27.62,107559,133957
205760,27.62,107527,133947
205780,27.62,107557,133963
205800,27.62,107535,133979
205820,27.62,107546,133962
205840,27.62,107533,133980
205860,27.62,107537,133942
205880,27.62,107543,134000
205900,27.62,107536,133941
205920,27.62,107551,134011
205940,27.62,107555,133944
205960,27.62,107543,134018
205980,27.62,107523,133776
206000,27.62,107529,134001
206020,27.62,107541,133941
206040,27.62,107537,133994
206060,27.62,107543,133990
206080,27.62,107528,134006
206100,27.62,107539,133991
206120,27.62,107521,133984
206140,27.62,107518,133965
206160,27.62,107524,133990
206180,27.62,107502,133941
206200,27.62,107523,133989
206220,27.62,107494,133936
206240,27.62,107537,134009
206260,27.62,107497,133933
206280,27.62,107535,134008
206300,27.62,107520,133937
206320,27.62,107541,134005
206340,27.62,107538,133979
206360,27.62,107525,133976
206380,27.62,107538,133991
206400,27.62,107520,133961
206420,27.62,107541,133991
206440,27.62,107501,133942
206460,27.62,107520,133968
206480,27.62,107498,133944
206500,27.62,107508,133963
206520,27.62,107499,133950
206540,27.62,107510,133954
206560,27.62,107509,133966
206580,27.62,107515,133942
206600,27.62,107516,133989
206620,27.62,107544,133929
206640,27.62,107536,134023
206660,27.62,107540,133930
206680,27.62,107554,134056
206700,27.62,107541,133947
206720,27.62,107554,134055
206740,27.62,107551,133985
206760,27.62,107570,134074
206780,27.62,107553,134002
206800,27.62,107563,134065
206820,27.62,107544,133986
206840,27.62,107551,134052
206860,27.62,107538,133984
206880,27.62,107530,134025
206900,27.62,107524,133954
206920,27.62,107509,134005
206940,27.62,107521,133963
206960,27.62,107501,134012
206980,27.62,107508,133959
207000,27.62,107464,133956
207022,27.62,107527,133947
207041,27.62,107485,133968
207061,27.62,107535,133979
207081,27.62,107509,134014
207101,27.62,107533,133980
207121,27.62,107532,134030
207141,27.62,107543,134000
207161,27.62,107538,134040
207181,27.62,107551,134011
207201,27.62,107560,134083
207221,27.62,107543,134018
207241,27.62,107556,134092
207261,27.62,107529,134001
207281,27.62,107557,134080
207301,27.62,107537,133994
207321,27.62,107555,134077
207341,27.62,107528,134006
207361,27.62,107551,134078
207381,27.62,107521,133984
207401,27.62,107532,134058
207421,27.62,107524,133990
207441,27.62,107519,134033
207461,27.62,107523,133989
207481,27.62,107511,134020
207501,27.62,107537,134009
207521,27.62,107510,134030
207541,27.62,107535,134008
207561,27.62,107498,134010
207581,27.62,107541,134005
207601,27.62,107492,134007
207621,27.62,107525,133976
207641,27.62,107481,134000
207661,27.62,107520,133961
207681,27.62,107477,133972
207701,27.62,107501,133942
207721,27.62,107500,133971
207741,27.62,107498,133944
207761,27.62,107507,133998
207781,27.62,107499,133950
207801,27.62,107525,134040
207821,27.62,107509,133966
207841,27.62,107530,134076
207861,27.62,107516,133989
207881,27.62,107530,134102
207901,27.62,107536,134023
207921,27.62,107538,134106
207941,27.62,107554,134056
207961,27.62,107527,134085
207981,27.62,107554,134055
208001,27.62,107504,134073
208021,27.62,107570,134074
208041,27.62,107526,134071
208061,27.62,107563,134065
208081,27.62,107542,134078
208101,27.62,107551,134052
208121,27.62,107570,134068
208141,27.62,107530,134025
208161,27.62,107574,134082
208181,27.62,107509,134005
208201,27.62,107567,134079
208221,27.62,107501,134012
208241,27.62,107548,134082
208261,27.62,107464,133956
208281,27.62,107569,134097
208301,27.62,107485,133968
208321,27.62,107548,134077
208341,27.62,107509,134014
208361,27.62,107545,134059
208381,27.62,107532,134030
208401,27.62,107537,134065
208421,27.62,107538,134040
208441,27.62,107529,134067
208461,27.62,107560,134083
208481,27.62,107522,134064
208501,27.62,107556,134092
208521,27.62,107510,134040
208541,27.62,107557,134080
208561,27.62,107507,134031
208581,27.62,107555,134077
208601,27.62,107525,134036
208621,27.62,107551,134078
208641,27.62,107527,134050
208661,27.62,107532,134058
208681,27.62,107527,134045
208701,27.62,107519,134033
208721,27.62,107524,134064
208741,27.62,107511,134020
208761,27.62,107530,134061
208781,27.62,107510,134030
208801,27.62,107536,134085
208821,27.62,107498,134010
208841,27.62,107544,134103
208861,27.62,107492,134007
208881,27.62,107545,134093
208901,27.62,107481,134000
208921,27.62,107553,134107
208941,27.62,107477,133972
208961,27.62,107560,134144
208981,27.62,107500,133971
209001,27.62,107566,134147
209023,27.63,107507,133998
209042,27.63,107578,134168
209062,27.63,107525,134040
209082,27.63,107598,134183
209102,27.63,107530,134076
209122,27.63,107589,134180
209142,27.63,107530,134102
209162,27.63,107589,134186
209182,27.63,107538,134106
209202,27.63,107568,134164
209222,27.63,107527,134085
209242,27.63,107558,134161
209262,27.63,107504,134073
209282,27.63,107574,134182
209302,27.63,107526,134071
209322,27.63,107577,134184
209342,27.63,107542,134078
209362,27.63,107576,134182
209382,27.63,107570,134068
209402,27.63,107579,134185
209422,27.63,107574,134082
209442,27.63,107577,134190
209462,27.63,107567,134079
209482,27.63,107595,134199
209502,27.63,107548,134082
209522,27.63,107589,134197
209542,27.63,107569,134097
209562,27.63,107593,134195
209582,27.63,107548,134077
209602,27.63,107596,134201
209622,27.63,107545,134059
209642,27.63,107583,134187
209662,27.63,107537,134065
209682,27.63,107587,134188
209702,27.63,107529,134067
209722,27.63,107589,134189
209742,27.63,107522,134064
209762,27.63,107601,134199
209782,27.63,107510,134040
209802,27.63,107612,134244
209822,27.63,107507,134031
209842,27.63,107617,134241
209862,27.63,107525,134036
209882,27.63,107605,134209
209902,27.63,107527,134050
209922,27.63,107607,134237
209942,27.63,107527,134045
209962,27.63,107598,134224
209982,27.63,107524,134064
210002,27.63,107568,134187
210022,27.63,107530,134061
210042,27.63,107590,134208
210062,27.63,107536,134085
210082,27.63,107584,134192
210102,27.63,107544,134103
210122,27.63,107595,134190
210142,27.63,107545,134093
210162,27.63,107589,134215
210182,27.63,107553,134107
210202,27.63,107570,134189
210222,27.63,107560,134144
210242,27.63,107560,134179
210262,27.63,107566,134147
210282,27.63,107567,134195
210302,27.63,107578,134168
210322,27.63,107579,134208
210342,27.63,107598,134183
210362,27.63,107598,134206
210382,27.63,107589,134180
210402,27.63,107589,134179
210422,27.63,107589,134186
210442,27.63,107589,134186
210462,27.63,107568,134164
210482,27.63,107568,134164
210502,27.63,107568,134164
210522,27.63,107558,134161
210542,27.63,107562,134136
210562,27.63,107574,134182
210582,27.63,107570,134182
210602,27.63,107577,134184
210622,27.63,107569,134206
210642,27.63,107576,134182
210662,27.63,107560,134221
210682,27.63,107579,134185
210702,27.63,107543,134217
210722,27.63,107577,134190
210742,27.63,107516,134184
210762,27.63,107595,134199
210782,27.63,107522,134186
210802,27.63,107589,134197
210822,27.63,107543,134197
210842,27.63,107593,134195
210862,27.63,107573,134197
210882,27.63,107596,134201
210902,27.63,107584,134186
210922,27.63,107583,134187
210942,27.63,107581,134163
210962,27.63,107587,134188
210982,27.63,107549,134179
211002,27.63,107589,134189
211024,27.63,107543,134174
211043,27.63,107601,134199
211063,27.63,107528,134170
211083,27.63,107612,134244
211103,27.63,107532,134144
211123,27.63,107617,134241
211143,27.63,107564,134151
211163,27.63,107605,134209
211183,27.63,107569,134152
211203,27.63,107607,134237
211223,27.63,107555,134147
211243,27.63,107598,134224
211263,27.63,107539,134171
211283,27.63,107568,134187
211303,27.63,107564,134209
211323,27.63,107590,134208
211343,27.63,107582,134253
211363,27.63,107584,134192
211383,27.63,107583,134256
211403,27.63,107595,134190
211423,27.63,107582,134266
211443,27.63,107589,134215
211463,27.63,107571,134251
211483,27.63,107570,134189
211503,27.63,107546,134214
211523,27.63,107560,134179
211543,27.63,107524,134189
211563,27.63,107567,134195
211583,27.63,107523,134180
211603,27.63,107579,134208
211623,27.63,107517,134182
211643,27.63,107584,134206
211663,27.63,107512,134181
211683,27.63,107569,134179
211703,27.63,107513,134175
211723,27.63,107577,134157
211743,27.63,107529,134194
211763,27.63,107568,134164
211783,27.63,107513,134196
211803,27.63,107562,134136
211823,27.63,107513,134203
211843,27.63,107570,134182
211863,27.63,107523,134209
211883,27.63,107569,134206
211903,27.63,107517,134228
211923,27.63,107560,134221
211943,27.63,107520,134212
211963,27.63,107543,134217
211983,27.63,107515,134204
212003,27.63,107516,134184
212023,27.63,107525,134199
212043,27.63,107522,134186
212063,27.63,107529,134217
212083,27.63,107543,134197
212103,27.63,107535,134250
212123,27.63,107573,134197
212143,27.63,107524,134247
212163,27.63,107584,134186
212183,27.63,107543,134252
212203,27.63,107581,134163
212223,27.63,107555,134315
212243,27.63,107549,134179
212263,27.63,107562,134316
212283,27.63,107543,134174
212303,27.63,107553,134297
212323,27.63,107528,134170
212343,27.63,107556,134314
212363,27.63,107532,134144
212383,27.63,107558,134296
212403,27.63,107564,134151
212423,27.63,107554,134299
212443,27.63,107569,134152
212463,27.63,107571,134330
212483,27.63,107555,134147
212503,27.63,107565,134328
212523,27.63,107539,134171
212543,27.63,107577,134349
212563,27.63,107564,134209
212583,27.63,107609,134381
212603,27.63,107582,134253
212623,27.63,107613,134380
212643,27.63,107583,134256
212663,27.63,107618,134394
212683,27.63,107582,134266
212703,27.63,107610,134381
212723,27.63,107571,134251
212743,27.63,107611,134380
212763,27.63,107546,134214
212783,27.63,107619,134399
212803,27.63,107524,134189
212823,27.63,107645,134423
212843,27.63,107523,134180
212863,27.63,107671,134449
212883,27.63,107517,134182
212903,27.63,107659,134458
212923,27.63,107512,134181
212943,27.63,107671,134472
212963,27.63,107513,134175
212983,27.63,107657,134450
213003,27.63,107529,134194
213025,27.63,107634,134411
213044,27.63,107513,134196
213064,27.63,107633,134388
213084,27.63,107513,134203
213104,27.63,107617,134373
213124,27.63,107523,134209
213144,27.63,107624,134376
213164,27.63,107517,134228
213184,27.63,107629,134375
213204,27.63,107520,134212
213224,27.63,107635,134385
213244,27.63,107515,134204
213264,27.63,107637,134387
213284,27.63,107525,134199
213304,27.63,107618,134384
213324,27.63,107529,134217
213344,27.63,107611,134372
213364,27.63,107535,134250
213384,27.63,107598,134350
213404,27.63,107524,134247
213424,27.63,107610,134342
213444,27.63,107543,134252
213464,27.63,107625,134351
213484,27.63,107555,134315
213504,27.63,107622,134337
213524,27.63,107562,134316
213544,27.63,107611,134347
213564,27.63,107553,134297
213584,27.63,107619,134386
213604,27.63,107556,134314
213624,27.63,107623,134415
213644,27.63,107558,134296
213664,27.63,107618,134416
213684,27.63,107554,134299
213704,27.63,107605,134389
213724,27.63,107571,134330
213744,27.63,107572,134369
213764,27.63,107565,134328
213784,27.63,107559,134354
213804,27.63,107577,134349
213824,27.63,107578,134360
213844,27.63,107609,134381
213864,27.63,107603,134355
213884,27.63,107613,134380
213904,27.63,107632,134348
213924,27.63,107618,134394
213944,27.63,107623,134355
213964,27.63,107610,134381
213984,27.63,107581,134319
214004,27.63,107611,134380
214024,27.63,107564,134303
214044,27.63,107619,134399
214064,27.63,107557,134306
214084,27.63,107645,134423
214104,27.63,107557,134300
214124,27.63,107671,134449
214144,27.63,107549,134296
214164,27.63,107659,134458
214184,27.63,107552,134293
214204,27.63,107671,134472
214224,27.63,107562,134321
214244,27.63,107657,134450
214264,27.63,107551,134308
214284,27.63,107634,134411
214304,27.63,107547,134306
214324,27.63,107633,134388
214344,27.63,107556,134320
214364,27.63,107617,134373
214384,27.63,107556,134300
214404,27.63,107624,134376
214424,27.63,107547,134301
214444,27.63,107629,134375
214464,27.63,107537,134299
214484,27.63,107635,134385
214504,27.63,107516,134284
214524,27.63,107637,134387
214544,27.63,107528,134282
214564,27.63,107618,134384
214584,27.63,107530,134294
214604,27.63,107611,134372
214624,27.63,107530,134298
214644,27.63,107598,134350
214664,27.63,107519,134274
214684,27.63,107610,134342
214704,27.63,107525,134281
214724,27.63,107625,134351
214744,27.63,107509,134268
214764,27.63,107622,134337
214784,27.63,107520,134273
214804,27.63,107611,134347
214824,27.63,107538,134311
214844,27.63,107619,134386
214864,27.63,107545,134311
214884,27.63,107623,134415
214904,27.63,107527,134287
214924,27.63,107618,134416
214944,27.63,107515,134251
214964,27.63,107605,134389
214984,27.63,107497,134229
215004,27.63,107572,134369
215026,27.65,107490,134212
215045,27.65,107559,134354
215065,27.65,107483,134205
215085,27.65,107578,134360
215105,27.65,107484,134214
215125,27.65,107603,134355
215145,27.65,107466,134200
215165,27.65,107632,134348
215185,27.65,107459,134182
215205,27.65,107623,134355
215225,27.65,107435,134150
215245,27.65,107581,134319
215265,27.65,107404,134102
215285,27.65,107564,134303
215305,27.65,107401,134100
215325,27.65,107557,134306
215345,27.65,107395,134086
215365,27.65,107557,134300
215385,27.65,107393,134075
215405,27.65,107549,134296
215425,27.65,107402,134080
215445,27.65,107552,134293
215465,27.65,107392,134064
215485,27.65,107562,134321
215505,27.65,107363,134013
215525,27.65,107551,134308
215545,27.65,107339,133986
215565,27.65,107547,134306
215585,27.65,107325,133967
215605,27.65,107556,134320
215625,27.65,107345,133967
215645,27.65,107556,134300
215665,27.65,107331,133957
215685,27.65,107547,134301
215705,27.65,107346,134002
215725,27.65,107537,134299
215745,27.65,107362,134027
215765,27.65,107516,134284
215785,27.65,107372,134037
215805,27.65,107528,134282
215825,27.65,107378,134047
215845,27.65,107530,134294
215865,27.65,107379,134040
215885,27.65,107530,134298
215905,27.65,107372,134041
215925,27.65,107519,134274
215945,27.65,107365,134038
215965,27.65,107525,134281
215985,27.65,107359,134039
216005,27.65,107509,134268
216025,27.65,107352,134019
216045,27.65,107520,134273
216065,27.65,107342,134015
216085,27.65,107538,134311
216105,27.65,107348,134023
216125,27.65,107545,134311
216145,27.65,107545,134039
216165,27.65,107527,134287
216185,27.65,107527,134027
216205,27.65,107515,134251
216225,27.65,107515,134251
216245,27.65,107497,134229
216265,27.65,107497,134229
216285,27.65,107497,134229
216305,27.65,107490,134212
216325,27.65,107345,134009
216345,27.65,107483,134205
216365,27.65,107340,134019
216385,27.65,107484,134214
216405,27.65,107335,134035
216425,27.65,107466,134200
216445,27.65,107327,134036
216465,27.65,107459,134182
216485,27.65,107321,134036
216505,27.65,107435,134150
216525,27.65,107319,134041
216545,27.65,107404,134102
216565,27.65,107309,134039
216585,27.65,107401,134100
216605,27.65,107334,134055
216625,27.65,107395,134086
216645,27.65,107352,134049
216665,27.65,107393,134075
216685,27.65,107368,134030
216705,27.65,107402,134080
216725,27.65,107352,134027
216745,27.65,107392,134064
216765,27.65,107325,134028
216785,27.65,107363,134013
216805,27.65,107326,134017
216825,27.65,107339,133986
216845,27.65,107314,134010
216865,27.65,107325,133967
216885,27.65,107311,134006
216905,27.65,107345,133967
216925,27.65,107306,133999
216945,27.65,107331,133957
216965,27.65,107314,134012
216985,27.65,107346,134002
217005,27.65,107300,133994
217027,27.65,107362,134027
217046,27.65,107289,133980
217066,27.65,107372,134037
217086,27.65,107281,133987
217106,27.65,107378,134047
217126,27.65,107282,133977
217146,27.65,107379,134040
217166,27.65,107263,133963
217186,27.65,107372,134041
217206,27.65,107271,133970
217226,27.65,107365,134038
217246,27.65,107272,133980
217266,27.65,107359,134039
217286,27.65,107280,133993
217306,27.65,107352,134019
217326,27.65,107268,133979
217346,27.65,107342,134015
217366,27.65,107283,133994
217386,27.65,107348,134023
217406,27.65,107289,133999
217426,27.65,107362,134039
217446,27.65,107291,134006
217466,27.65,107357,134027
217486,27.65,107280,134020
217506,27.65,107348,134006
217526,27.65,107278,134022
217546,27.65,107497,134229
217566,27.65,107267,134016
217586,27.65,107345,134009
217606,27.65,107259,133983
217626,27.65,107340,134019
217646,27.65,107248,133977
217666,27.65,107335,134035
217686,27.65,107250,133982
217706,27.65,107327,134036
217726,27.65,107258,133994
217746,27.65,107321,134036
217766,27.65,107252,133997
217786,27.65,107319,134041
217806,27.65,107249,133990
217826,27.65,107309,134039
217846,27.65,107257,134000
217866,27.65,107334,134055
