ms,temp_c,red,ir
2837,27.57,79913,81884
2856,27.57,98106,121246
2876,27.57,98119,121199
2896,27.57,98114,121202
2916,27.57,98117,121217
2936,27.57,98115,121201
2956,27.57,98121,121193
2976,27.57,98130,121211
2996,27.57,98125,121215
3016,27.57,98129,121231
3036,27.57,98123,121215
3056,27.57,98115,121229
3076,27.57,98116,121216
3096,27.57,98107,121227
3116,27.57,98114,121229
3136,27.57,98106,121207
3156,27.57,98107,121164
3176,27.57,98096,121139
3196,27.57,98101,121143
3216,27.57,98108,121174
3236,27.57,98115,121191
3256,27.57,98123,121212
3276,27.57,98118,121202
3296,27.57,98117,121200
3316,27.57,98108,121198
3336,27.57,98116,121208
3356,27.57,98124,121211
3376,27.57,98112,121216
3396,27.57,98120,121218
3416,27.57,98115,121217
3436,27.57,98112,121220
3456,27.57,98113,121218
3476,27.57,98136,121244
3496,27.57,98135,121235
3516,27.57,98124,121236
3536,27.57,98127,121212
3556,27.57,98111,121166
3576,27.57,98113,121166
3596,27.57,98123,121188
3616,27.57,98124,121207
3636,27.57,98136,121216
3656,27.57,98132,121223
3676,27.57,98129,121229
3696,27.57,98124,121199
3716,27.57,98132,121203
3736,27.57,98140,121227
3756,27.57,98133,121222
3776,27.57,98142,121247
3796,27.57,98129,121225
3816,27.57,98131,121229
3836,27.57,98137,121250
3856,27.57,98126,121239
3876,27.57,98132,121257
3896,27.57,98122,121237
3916,27.57,98126,121211
3936,27.57,98122,121172
3956,27.57,98127,121177
3976,27.57,98135,121200
3996,27.57,98135,121209
4016,27.57,98135,121245
4036,27.57,98142,121244
4056,27.57,98142,121241
4076,27.57,98139,121218
4096,27.57,98113,121218
4116,27.57,98129,121193
4136,27.57,98136,121244
4156,27.57,98144,121201
4176,27.57,98135,121235
4196,27.57,98140,121212
4216,27.57,98124,121236
4236,27.57,98146,121233
4256,27.57,98127,121212
4276,27.57,98144,121255
4296,27.57,98111,121166
4316,27.57,98149,121268
4336,27.57,98113,121166
4356,27.57,98142,121267
4376,27.57,98123,121188
4396,27.57,98116,121246
4416,27.57,98124,121207
4436,27.57,98117,121258
4456,27.57,98136,121216
4476,27.57,98115,121254
4496,27.57,98132,121223
4516,27.57,98134,121200
4536,27.57,98129,121229
4556,27.57,98145,121177
4576,27.57,98124,121199
4596,27.57,98153,121187
4616,27.57,98132,121203
4636,27.57,98142,121220
4656,27.57,98140,121227
4676,27.57,98146,121227
4696,27.57,98133,121222
4716,27.57,98151,121250
4736,27.57,98142,121247
4756,27.57,98153,121253
4776,27.57,98129,121225
4796,27.57,98147,121229
4816,27.57,98131,121229
4837,27.57,98138,121241
4856,27.57,98137,121250
4876,27.57,98142,121227
4896,27.57,98126,121239
4916,27.57,98139,121247
4936,27.57,98132,121257
4956,27.57,98152,121246
4976,27.57,98122,121237
4996,27.57,98156,121255
5016,27.57,98126,121211
5036,27.57,98148,121260
5056,27.57,98122,121172
5076,27.57,98146,121251
5096,27.57,98127,121177
5116,27.57,98149,121249
5136,27.57,98135,121200
5156,27.57,98153,121259
5176,27.57,98135,121209
5196,27.57,98150,121264
5216,27.57,98135,121245
5236,27.57,98155,121267
5256,27.57,98142,121244
5276,27.57,98135,121214
5296,27.57,98142,121241
5316,27.57,98133,121174
5336,27.57,98139,121218
5356,27.57,98136,121189
5376,27.57,98129,121193
5396,27.57,98149,121216
5416,27.57,98144,121201
5436,27.57,98162,121240
5456,27.57,98140,121212
5476,27.57,98148,121238
5496,27.57,98146,121233
5516,27.57,98151,121253
5536,27.57,98144,121255
5556,27.57,98148,121241
5576,27.57,98149,121268
5596,27.57,98151,121236
5616,27.57,98142,121267
5636,27.57,98148,121242
5656,27.57,98116,121246
5676,27.57,98140,121243
5696,27.57,98117,121258
5716,27.57,98148,121264
5736,27.57,98115,121254
5756,27.57,98153,121255
5776,27.57,98134,121200
5796,27.57,98151,121263
5816,27.57,98145,121177
5836,27.57,98161,121270
5856,27.57,98153,121187
5876,27.57,98157,121276
5896,27.57,98142,121220
5916,27.57,98163,121285
5936,27.57,98146,121227
5956,27.57,98148,121269
5976,27.57,98151,121250
5996,27.57,98158,121275
6016,27.57,98153,121253
6036,27.57,98155,121263
6056,27.57,98147,121229
6076,27.57,98146,121202
6096,27.57,98138,121241
6116,27.57,98149,121198
6136,27.57,98142,121227
6156,27.57,98141,121213
6176,27.57,98139,121247
6196,27.57,98160,121237
6216,27.57,98152,121246
6236,27.57,98152,121245
6256,27.57,98156,121255
6276,27.57,98161,121262
6296,27.57,98148,121260
6316,27.57,98152,121265
6336,27.57,98146,121251
6356,27.57,98166,121253
6376,27.57,98149,121249
6396,27.57,98160,121259
6416,27.57,98153,121259
6436,27.57,98169,121260
6456,27.57,98150,121264
6476,27.57,98168,121273
6496,27.57,98155,121267
6516,27.57,98172,121273
6536,27.57,98135,121214
6556,27.57,98135,121289
6576,27.57,98133,121174
6596,27.57,98133,121174
6616,27.57,98136,121189
6636,27.57,98136,121189
6656,27.57,98149,121216
6676,27.57,98149,121216
6696,27.57,98149,121216
6716,27.57,98162,121240
6736,27.57,98170,121265
6756,27.57,98148,121238
6776,27.57,98165,121285
6796,27.57,98151,121253
6816,27.57,98177,121306
6838,27.57,98158,121255
6857,27.57,98151,121236
6877,27.57,98151,121236
6897,27.57,98148,121242
6917,27.57,98148,121242
6937,27.57,98148,121242
6957,27.57,98140,121243
6977,27.57,98173,121232
6997,27.57,98148,121264
7017,27.57,98179,121270
7037,27.57,98153,121255
7057,27.57,98177,121290
7077,27.57,98151,121263
7097,27.57,98193,121324
7117,27.57,98161,121270
7137,27.57,98180,121297
7157,27.57,98157,121276
7177,27.57,98162,121289
7197,27.57,98163,121285
7217,27.57,98179,121312
7237,27.57,98148,121269
7257,27.57,98187,121318
7277,27.57,98158,121275
7297,27.57,98208,121327
7317,27.57,98155,121263
7337,27.57,98227,121331
7357,27.57,98146,121202
7377,27.57,98226,121329
7397,27.57,98149,121198
7417,27.57,98217,121342
7437,27.57,98141,121213
7457,27.57,98215,121344
7477,27.57,98160,121237
7497,27.57,98239,121393
7517,27.57,98152,121245
7537,27.57,98244,121396
7557,27.57,98161,121262
7577,27.57,98241,121399
7597,27.57,98152,121265
7617,27.57,98244,121361
7637,27.57,98166,121253
7657,27.57,98230,121312
7677,27.57,98160,121259
7697,27.57,98236,121314
7717,27.57,98169,121260
7737,27.57,98231,121335
7757,27.57,98168,121273
7777,27.57,98238,121353
7797,27.57,98172,121273
7817,27.57,98255,121384
7837,27.57,98172,121289
7857,27.57,98293,121443
7877,27.57,98172,121276
7897,27.57,98308,121439
7917,27.57,98176,121243
7937,27.57,98291,121420
7957,27.57,98149,121216
7977,27.57,98295,121431
7997,27.57,98170,121265
8017,27.57,98283,121408
8037,27.57,98165,121285
8057,27.57,98273,121427
8077,27.57,98177,121306
8097,27.57,98279,121422
8117,27.57,98158,121255
8137,27.57,98273,121428
8157,27.57,98160,121191
8177,27.57,98284,121427
8197,27.57,98148,121242
8217,27.57,98274,121424
8237,27.57,98173,121232
8257,27.57,98291,121433
8277,27.57,98179,121270
8297,27.57,98281,121432
8317,27.57,98177,121290
8337,27.57,98287,121431
8357,27.57,98193,121324
8377,27.57,98289,121438
8397,27.57,98180,121297
8417,27.57,98263,121385
8437,27.57,98162,121289
8457,27.57,98257,121344
8477,27.57,98179,121312
8497,27.57,98260,121360
8517,27.57,98187,121318
8537,27.57,98262,121383
8557,27.57,98208,121327
8577,27.57,98273,121407
8597,27.57,98227,121331
8617,27.57,98272,121414
8637,27.57,98226,121329
8657,27.57,98274,121419
8677,27.57,98217,121342
8697,27.57,98267,121404
8717,27.57,98215,121344
8737,27.57,98269,121403
8757,27.57,98239,121393
8777,27.57,98275,121402
8797,27.57,98244,121396
8817,27.57,98272,121419
8839,27.56,98241,121399
8858,27.56,98272,121431
8878,27.56,98244,121361
8898,27.56,98265,121415
8918,27.56,98230,121312
8938,27.56,98263,121412
8958,27.56,98236,121314
8978,27.56,98261,121415
8998,27.56,98231,121335
9018,27.56,98256,121410
9038,27.56,98238,121353
9058,27.56,98265,121422
9078,27.56,98255,121384
9098,27.56,98266,121411
9118,27.56,98293,121443
9138,27.56,98260,121422
9158,27.56,98308,121439
9178,27.56,98273,121418
9198,27.56,98291,121420
9218,27.56,98253,121364
